x,y,z,T
0.025,0.05,0.05,1.00021
0.075,0.05,0.05,0.999031
0.125,0.05,0.05,0.99892
0.175,0.05,0.05,1.00479
0.225,0.05,0.05,1.01202
0.275,0.05,0.05,1.00212
0.325,0.05,0.05,0.953314
0.375,0.05,0.05,0.855654
0.425,0.05,0.05,0.717507
0.475,0.05,0.05,0.560317
0.525,0.05,0.05,0.407872
0.575,0.05,0.05,0.277604
0.625,0.05,0.05,0.177362
0.675,0.05,0.05,0.106822
0.725,0.05,0.05,0.060899
0.775,0.05,0.05,0.0329906
0.825,0.05,0.05,0.0170445
0.875,0.05,0.05,0.00841831
0.925,0.05,0.05,0.00402652
0.975,0.05,0.05,0.00165676
