x,y,z,T
0.025,0.05,0.05,0.999996
0.075,0.05,0.05,1.00001
0.125,0.05,0.05,1.00022
0.175,0.05,0.05,1.0004
0.225,0.05,0.05,0.997676
0.275,0.05,0.05,0.983597
0.325,0.05,0.05,0.94426
0.375,0.05,0.05,0.866203
0.425,0.05,0.05,0.745505
0.475,0.05,0.05,0.593092
0.525,0.05,0.05,0.43145
0.575,0.05,0.05,0.284822
0.625,0.05,0.05,0.169655
0.675,0.05,0.05,0.0907059
0.725,0.05,0.05,0.0432548
0.775,0.05,0.05,0.0182241
0.825,0.05,0.05,0.00667237
0.875,0.05,0.05,0.00205313
0.925,0.05,0.05,0.000487457
0.975,0.05,0.05,4.4752e-05
